,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
82,"[0.8919457068190678, 0.0034800054735116036, 38.513165646961895, 0.3624114631410921, 0.8592104820641611, 0.8029366587017217, 0.7127603242767127, 61.379118771637266, 0.4817740038265831, 37.33601177500507]"
83,"[1.439245479784394, 0.003794568250149662, 42.73124781165926, 0.3189662635844137, 1.0237461441387836, 0.8307824105267031, 0.6930092230990225, 73.2224531953868, 0.4523583080744188, 34.75020497358555]"
84,"[1.5342075569698814, 0.003104515019615701, 34.12536356068495, 0.45530778870831706, 1.060313504027399, 0.7611326356456002, 0.6827569037602604, 40.2672433538919, 0.5531293806833784, 39.28525666023502]"
85,"[2.3030336694658065, 0.002318104762919949, 44.35172128042479, 0.3404012347399912, 0.9249026650782706, 0.6940288003000306, 0.7293347713130007, 58.203926197411555, 0.41556642510632297, 40.58967524899086]"
86,"[2.523329137428643, 0.0024278470260966976, 35.88525459743039, 0.41355251296236945, 0.6896126833568865, 0.7214774202419115, 0.7575001862463024, 63.002686769284594, 0.5239298304186071, 36.10107992577493]"
87,"[2.1644324139308795, 0.0018646433361313723, 37.61760050600115, 0.27218017817930856, 1.4501258295546102, 0.8993736228895556, 0.46781720416206307, 68.80670902360306, 0.581442346125402, 44.037521501578595]"
88,"[2.4198561638832197, 0.002884325355693189, 31.206586551279624, 0.2971634366704661, 0.766801699992657, 0.9352442505975481, 0.7080779647450516, 49.230099525462016, 0.6718187222872853, 42.02557608125858]"
89,"[2.1157749314212717, 0.001616223769343386, 41.574638474100624, 0.5254140959206539, 0.9654608897649196, 0.7856112387355274, 0.6693517393630553, 56.62993040264638, 0.641084228559911, 37.49890516472317]"
90,"[1.6474987683140307, 0.0020540538291118466, 33.08898236367787, 0.3604170176728737, 1.1522253071613098, 0.8143744226715203, 0.6742217733874417, 53.718106289751674, 0.6061480804244844, 38.93371732360021]"
91,"[0.7275754496603121, 0.0025468159001849587, 39.87717253628093, 0.49619872221236455, 1.013421357294483, 0.847511065260483, 0.7218213399667675, 72.35154658522153, 0.3806386880676591, 30.507684822249587]"
92,"[2.9194179005569163, 0.002260718324474071, 28.963648728362003, 0.3288774676228794, 0.8612275193335505, 0.6625472688144282, 0.63266434977053, 65.16615857681526, 0.4689759649760944, 29.111652025604215]"
93,"[2.3329266713698407, 0.0032706026707404485, 44.65776854587506, 0.4274447136403752, 0.933169906140227, 0.8716006755198327, 0.760921463057466, 51.130593197960636, 0.8110694833440814, 32.02370017471083]"
