0,rmse,SLATB001,SPAN,EFFTB003,TMNFTB003,CVO,FLTB003,TDWI,CVL,TEFFMX,EFFTB001,KDIFTB003
31,0.422891842,0.003850275,40.55743081,0.310832367,0.903439829,0.778247286,0.479369145,56.50039964,0.804575201,39.92068612,0.73093454,0.762323715
32,0.874190129,0.002819608,30.47733767,0.247533987,0.766108789,0.905485984,0.495605652,47.7226716,0.899011614,38.39620751,0.748659605,0.554113412
33,0.741677821,0.00261896,48.59336117,0.429470916,0.645926447,0.770775594,0.485313104,67.28429094,0.738027079,39.16497201,0.670523764,0.633652534
34,0.627413544,0.003195074,37.84711956,0.30861035,0.843562497,0.723133598,0.511432898,46.90030797,0.591971723,39.47118806,0.705935851,0.547789841
35,0.88801676,0.003440463,44.64009331,0.269609554,0.586434702,0.864852292,0.583146772,27.4821669,0.787806812,38.01587298,0.659830056,0.346040176
36,0.791449808,0.002720199,41.72282482,0.256247858,0.874184996,0.748473925,0.474474357,40.02793077,0.847196461,36.39858071,0.595353723,0.452674017
37,0.827979142,0.00292555,20.93317031,0.45790735,0.980987685,0.904991781,0.553254798,31.49441487,0.588746802,40.25020799,0.626840679,0.821842198
38,0.351754113,0.002479235,47.39861266,0.556999722,0.735450149,0.777446074,0.656913908,64.45682908,0.684248838,38.76493973,0.749719543,0.485638957
39,0.780913259,0.002449755,46.85764923,0.553938435,0.546987613,0.680315369,0.645400737,72.72903435,0.675108985,41.47677748,0.688815441,0.487037123
40,0.778590432,0.002121281,33.98730162,0.572299742,0.68248034,0.723354463,0.673347874,66.30580123,0.547732182,38.66932582,0.749352741,0.420830467
41,0.878703378,0.002295277,32.12282576,0.672137711,0.612011572,0.791260404,0.636426985,63.65201829,0.437976544,40.54704994,0.717868817,0.362541822
42,0.508453874,0.002562015,40.01054527,0.553221857,0.741484883,0.758338703,0.607417986,72.46503596,0.773267654,39.46532075,0.525401455,0.486621225
43,0.717678918,0.001890855,36.62740544,0.534808337,0.737305996,0.819538111,0.660215868,56.94568894,0.688493252,41.63828396,0.65326955,0.542792875
44,0.971813698,0.002542782,16.70305834,0.477088144,0.822963984,0.787066259,0.585741851,78.3085005,0.611123048,40.95253026,0.747710718,0.32248713
45,0.992689581,0.001383374,28.62979658,0.425272932,0.720879672,0.675338019,0.631582391,63.52199807,0.916311919,40.0233871,0.607775303,0.615290852
46,0.276052458,0.003373968,43.65498377,0.607986728,0.866514685,0.873970647,0.604387942,51.8488106,0.53943448,37.14445215,0.511676145,0.377474619
47,0.13144472,0.003251921,43.43106393,0.609225807,0.996534997,0.88302035,0.598356887,53.41734991,0.39388424,37.02322602,0.50909403,0.37282634
48,0.507272325,0.003242108,45.56020064,0.407930432,1.011648402,0.547190066,0.593374509,59.24672304,0.368281149,35.93619559,0.363373206,0.425430468
49,0.405913469,0.003057369,35.62810938,0.32118053,1.158612418,0.897936422,0.572416297,53.73167859,0.449225678,37.94173799,0.46817128,0.320753217
50,0.367147245,0.003740408,39.82319138,0.525455099,1.074501457,0.620663662,0.613180859,42.20181656,0.393156631,42.03689015,0.5769463,0.349838756
51,0.612325386,0.002880966,37.6419435,0.35162981,0.966055729,0.881972066,0.556262794,45.80914374,0.485647558,36.88257989,0.493677327,0.304435127
52,0.168737377,0.002674244,42.77932689,0.590753399,1.161685111,0.824630849,0.625407274,33.36503474,0.52238988,44.18593635,0.439626416,0.399837858
53,0.441016792,0.002232235,33.07946655,0.592007802,1.162776314,0.825553306,0.627706786,38.39249188,0.355585844,44.65052245,0.303116277,0.386311085
54,0.47851693,0.002725469,29.67300996,0.655543711,0.941946299,0.889641528,0.643750448,33.88660941,0.395861585,43.85881438,0.448230605,0.519034503
55,0.240898481,0.003413602,42.24706864,0.62012544,1.01110902,0.852794632,0.65369297,25.20883834,0.511499523,44.98015534,0.368836697,0.300351202
56,0.248340119,0.003298486,40.9152313,0.574518839,1.181769656,0.70556542,0.593597787,51.26350569,0.343211005,42.8756836,0.38434079,0.407135056
57,0.475808882,0.001832486,43.07905066,0.669398533,1.088811059,0.664929793,0.61309613,30.01740614,0.472106524,43.99756456,0.328555142,0.451896621
58,0.291558255,0.003060311,38.71537818,0.629758414,1.137890595,0.702963495,0.621566279,70.04229083,0.452060563,41.93792694,0.562011438,0.592644961
59,0.680390842,0.002679751,48.03802848,0.511558724,0.898197145,0.743851569,0.565512475,33.35710571,0.382961188,35.31290937,0.345676231,0.363647562
60,0.366175185,0.002081627,45.30759294,0.602149131,1.061254871,0.80372544,0.588001279,53.96911695,0.41670188,42.60293867,0.28395754,0.667948331
61,0.594983622,0.002382469,26.62024453,0.651948144,1.098690329,0.621017842,0.600436428,43.70681453,0.529631639,44.224288,0.449530181,0.327305884
62,0.218770552,0.002975768,49.48738213,0.479034257,1.029828422,0.846715646,0.578232236,61.25992585,0.495355736,36.2096038,0.485268372,0.568884287
63,0.426340818,0.003789493,35.2062089,0.579546787,0.996004404,0.827815213,0.636915135,27.16537446,0.571366891,37.43722988,0.423775852,0.519645982
64,0.360400221,0.003160671,36.99693442,0.615887329,0.933589489,0.867635397,0.672910387,57.60228099,0.656149343,38.41152513,0.515666886,0.466267417
65,0.231434497,0.002814376,46.11692827,0.640894784,1.135672896,0.740486211,0.547396247,79.99747516,0.43555516,43.32986276,0.398869374,0.43643262
66,0.163091623,0.003109415,44.11288295,0.288302211,1.192920394,0.88702451,0.522274757,36.80096653,0.619538435,40.37197612,0.553394494,0.395094541
67,0.158929133,0.003588228,44.88104406,0.298055875,1.198770884,0.888989571,0.525627322,28.64004038,0.619060035,44.90953655,0.547608213,0.403888151
